Point ID,alphat,arc_length,epsilon,k,nut,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,7.97125e-07,0,3273.28,2.51263,8.4951e-07,-47.5252,-47.5262,0,0,0.001,0.001,300.066,0,0,0,0,1
1,6.21758e-07,0.00024,3065,2.45223,6.62618e-07,-49.2993,-49.3,0.00024,0,0.001,0.0010284,300.092,0,0,0,0,1
2,4.4639e-07,0.00048,2856.72,2.39182,4.75726e-07,-51.0734,-51.0739,0.00048,0,0.001,0.00110923,300.118,0,0,0,0,1
3,2.71023e-07,0.00072,2648.43,2.33142,2.88833e-07,-52.8475,-52.8478,0.00072,0,0.001,0.00123223,300.144,0,0,0,0,1
4,9.5655e-08,0.00096,2440.15,2.27101,1.01941e-07,-54.6215,-54.6216,0.00096,0,0.001,0.00138622,300.169,0,0,0,0,1
5,0,0.0012,2362.01,2.30323,0,-51.6592,-51.6592,0.0012,0,0.001,0.00156205,300.204,0,0,0,0,1
6,0,0.00144,2440.05,2.4466,0,-43.0133,-43.0133,0.00144,0,0.001,0.00175317,300.248,0,0,0,0,1
7,0,0.00168,2518.08,2.58997,0,-34.3673,-34.3673,0.00168,0,0.001,0.0019551,300.292,0,0,0,0,1
8,0,0.00192,2596.12,2.73334,0,-25.7214,-25.7214,0.00192,0,0.001,0.00216481,300.336,0,0,0,0,1
9,0,0.00216,2674.16,2.87671,0,-17.0754,-17.0754,0.00216,0,0.001,0.00238025,300.38,0,0,0,0,1
10,0,0.0024,2821.24,3.17033,0,-15.8745,-15.8745,0.0024,0,0.001,0.0026,300.454,0,0,0,0,1
11,0,0.00264,2975.23,3.47897,0,-15.4181,-15.4181,0.00264,0,0.001,0.00282305,300.53,0,0,0,0,1
12,0,0.00288,3129.22,3.78762,0,-14.9617,-14.9617,0.00288,0,0.001,0.00304867,300.606,0,0,0,0,1
13,0,0.00312,3283.21,4.09626,0,-14.5053,-14.5053,0.00312,0,0.001,0.00327634,300.682,0,0,0,0,1
14,0,0.00336,3419.99,4.37851,0,-14.0796,-14.0796,0.00336,0,0.001,0.00350565,300.766,0,0,0,0,1
15,0,0.0036,3526.67,4.61459,0,-13.7078,-13.7078,0.0036,0,0.001,0.00373631,300.864,0,0,0,0,1
16,0,0.00384,3633.35,4.85066,0,-13.336,-13.336,0.00384,0,0.001,0.00396807,300.962,0,0,0,0,1
