Point ID,alphat,arc_length,epsilon,k,nut,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
41,0,0.00984,11626.7,6.09349,0,-6.91213,-6.91213,0.00984,0,0.001,0.00989068,300.722,0,0,0,0,1
42,0,0.01008,9979.52,6.16213,0,-6.54884,-6.54884,0.01008,0,0.001,0.0101295,300.772,0,0,0,0,1
43,0,0.01032,8332.36,6.23078,0,-6.18554,-6.18554,0.01032,0,0.001,0.0103683,300.822,0,0,0,0,1
44,0,0.01056,6685.2,6.29943,0,-5.82225,-5.82225,0.01056,0,0.001,0.0106072,300.872,0,0,0,0,1
45,0,0.0108,5038.03,6.36807,0,-5.45896,-5.45896,0.0108,0,0.001,0.0108462,300.922,0,0,0,0,1
46,0,0.01104,4279.94,6.37557,0,-5.16865,-5.16865,0.01104,0,0.001,0.0110852,300.977,0,0,0,0,1
47,0,0.01128,4262.73,6.33212,0,-4.93916,-4.93916,0.01128,0,0.001,0.0113242,301.035,0,0,0,0,1
48,0,0.01152,4245.53,6.28866,0,-4.70967,-4.70967,0.01152,0,0.001,0.0115633,301.093,0,0,0,0,1
49,0,0.01176,4228.33,6.24521,0,-4.48019,-4.48019,0.01176,0,0.001,0.0118024,301.151,0,0,0,0,1
50,0,0.012,4211.12,6.20176,0,-4.2507,-4.2507,0.012,0,0.001,0.0120416,301.208,0,0,0,0,1
51,0,0.01224,4236.14,6.26555,0,-4.08454,-4.08454,0.01224,0,0.001,0.0122808,301.279,0,0,0,0,1
52,0,0.01248,4261.15,6.32935,0,-3.91837,-3.91837,0.01248,0,0.001,0.01252,301.349,0,0,0,0,1
53,0,0.01272,4286.16,6.39315,0,-3.75221,-3.75221,0.01272,0,0.001,0.0127592,301.419,0,0,0,0,1
54,0,0.01296,4311.17,6.45695,0,-3.58605,-3.58605,0.01296,0,0.001,0.0129985,301.489,0,0,0,0,1
55,0,0.0132,4332.37,6.51083,0,-3.41787,-3.41787,0.0132,0,0.001,0.0132378,301.563,0,0,0,0,1
56,0,0.01344,4348.99,6.5528,0,-3.24728,-3.24728,0.01344,0,0.001,0.0134772,301.64,0,0,0,0,1
57,0,0.01368,4365.62,6.59478,0,-3.07669,-3.07669,0.01368,0,0.001,0.0137165,301.717,0,0,0,0,1
58,0,0.01392,4382.24,6.63675,0,-2.9061,-2.9061,0.01392,0,0.001,0.0139559,301.794,0,0,0,0,1
59,0,0.01416,4398.86,6.67872,0,-2.73551,-2.73551,0.01416,0,0.001,0.0141953,301.871,0,0,0,0,1
60,0,0.0144,4380.19,6.63096,0,-2.58441,-2.58441,0.0144,0,0.001,0.0144347,301.949,0,0,0,0,1
61,0,0.01464,4357.99,6.57422,0,-2.43525,-2.43525,0.01464,0,0.001,0.0146741,302.028,0,0,0,0,1
62,0,0.01488,4335.79,6.51748,0,-2.28609,-2.28609,0.01488,0,0.001,0.0149136,302.106,0,0,0,0,1
63,0,0.01512,4313.59,6.46075,0,-2.13694,-2.13694,0.01512,0,0.001,0.015153,302.184,0,0,0,0,1
64,0,0.01536,4292.18,6.4063,0,-2.00353,-2.00353,0.01536,0,0.001,0.0153925,302.264,0,0,0,0,1
65,0,0.0156,4272.16,6.35586,0,-1.89767,-1.89767,0.0156,0,0.001,0.015632,302.346,0,0,0,0,1
66,0,0.01584,4252.13,6.30541,0,-1.79181,-1.79181,0.01584,0,0.001,0.0158715,302.429,0,0,0,0,1
67,0,0.01608,4232.11,6.25497,0,-1.68596,-1.68596,0.01608,0,0.001,0.0161111,302.512,0,0,0,0,1
68,0,0.01632,4212.08,6.20453,0,-1.5801,-1.5801,0.01632,0,0.001,0.0163506,302.595,0,0,0,0,1
69,0,0.01656,4188.01,6.14485,0,-1.49122,-1.49122,0.01656,0,0.001,0.0165902,302.681,0,0,0,0,1
70,0,0.0168,4163.04,6.08312,0,-1.40611,-1.40611,0.0168,0,0.001,0.0168297,302.768,0,0,0,0,1
71,0,0.01704,4138.06,6.02139,0,-1.321,-1.321,0.01704,0,0.001,0.0170693,302.854,0,0,0,0,1
